cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,mag_id,who_covidence_id,arxiv_id,pdf_json_files,pmc_json_files,url,s2_id
t9t975ai,d40ecfd9500ffeb11a00fd6286f5a5038311ab1d,PMC,Canadian Health Personnel Attitudes Toward Refugee Claimants’ Entitlement to Health Care,10.1007/s12134-021-00892-4,PMC8429477,,cc-by,"Health care personnel attitudes toward refugee claimant entitlement to health care are influenced by multilevel factors including institutional and societal culture. Although individual attitudes may be modified through training, macro- and meso-issues require system-level interventions. This paper analyzes the role of individual-, institutional-, and city-level factors in shaping attitudes toward refugee claimants’ access to health care among Canadian health care personnel. A total of 4207 health care personnel in 16 institutions located in Montreal and Toronto completed an online survey on attitudes regarding health care access for refugee claimants. We used multilevel logistic regression analysis to identify individual-, institutional-, and city-level predictors of endorsing access to care. Participants who had prior contact with refugee claimants had greater odds of endorsing access to care than those who did not (OR 1.13; 95% CI 1.05, 1.21). Attitudes varied with occupation: social workers had the highest probability of endorsing equal access to health care (.83; 95% CI .77, .89) followed by physicians (.77; 95% CI .71, .82). An estimated 7.97% of the individual variation in endorsement of equal access to health care was attributable to differences between institutions, but this association was no longer statistically significant after adjusting for city residence. Results indicate that the contexts in which health care professionals live and work are important when understanding opinions on access to health care for vulnerable populations. They suggest that institutional interventions promoting a collective mission to care for vulnerable populations may improve access to health care for precarious status migrants.",2021-09-10,"Rousseau, Cécile; Rummens, Joanna Anneke; Frounfelker, Rochelle L.; Yebenes, Monica Ruiz Casares; Cleveland, Janet",J Int Migr Integr,,,,document_parses/pdf_json/d40ecfd9500ffeb11a00fd6286f5a5038311ab1d.json,document_parses/pmc_json/PMC8429477.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8429477/,
ngnwdxxx,,WHO,"Artificial intelligence for the novel corona virus (COVID-19) pandemic: Opportunities, challenges, and future directions",10.4018/ijehmc.20220701.oa5,,,unk,"The COVID-19 outbreak has created havoc around the world and has brought life to a disturbing halt claiming thousands of lives worldwide with the infected cases rising every day. With technological advancements in artificial intelligence (AI), AI-based platforms can be used to deal with the COVID-19 pandemic and accelerate the processes ranging from crowd surveillance to medical diagnosis. This paper renders a response to battle the virus through various AI techniques by making use of its subsets such as machine learning (ML), deep learning (DL), and natural language processing (NLP). A survey of promising AI methods that could be used in various applications to facilitate the processes in this pandemic along with the potential of AI and challenges imposed are discussed thoroughly. This paper relies on the findings of the most recent research publications and journals on COVID-19 and suggests numerous relevant strategies. A case study on the impact of COVID-19 in various economic sectors is also discussed. The potential research challenges and future directions are also presented in the paper. © This article published as an Open Access article distributed under the terms of the Creative Commons Attribution License",2022,"Ahmed, A.; Boopathy, P.; Sudhagara Rajan, S.",International Journal of E-Health and Medical Communications,,#covidwho-1346614,,,,https://doi.org/10.4018/ijehmc.20220701.oa5,237258003.0
3i13szcr,,Elsevier; PMC; WHO,OUTCOMES FOR BLACK AND HISPANIC PATIENTS WITH COVID-19: A LARGE HEALTHCARE SYSTEM EXPERIENCE,10.1016/j.chest.2021.07.559,PMC8503149,,els-covid,"TOPIC: Chest Infections TYPE: Original Investigations PURPOSE: Studies have demonstrated the disproportionate impact of COVID-19 on patients from racial and ethnic minorities. Black and Hispanic people suffer disproportionately high rates of infection with SARS-CoV-2, hospitalization, and mortality, compared to non-Hispanic White people. However, case fatality rates have been shown to be similar across racial and ethnic groups. Less is known about the factors underpinning the similar case fatality rates between different racial and ethnic populations. METHODS: This retrospective cohort study analyzed outcomes for patients with COVID-19 hospitalized at MedStar Health institutions between March 1st, 2020 and July 1st, 2020. MedStar Health is a large health system with 9 hospitals in the Baltimore-Washington DC region. Data was abstracted from electronic health records, with patients stratified based on their race and ethnicity. The primary outcome was survival to hospital discharge, and secondary outcomes included need for mechanical ventilation. Statistical analyses included descriptive statistics and multi-variate logistic regressions. RESULTS: 3,165 patients were included in this analysis. The mean age of the cohort was 60.2 years (SD 17.3) and 49% were female. 14.7% were non-Hispanic White patients, 57.2% were non-Hispanic Black patients, and 20.7% were Hispanic. Hispanic patients were significantly younger than the cohort, with a mean age of 50.0 years. The overall survival of this cohort was 84.3%, with 79.8% survival for non-Hispanic White patients, 83.3% for non-Hispanic Black patients, and 89.8% for Hispanic patients. Hispanic patients had lower odds of death than non-Hispanic White patients (OR=0.45, CI 0.32-0.63), but this difference was no longer present when controlling for patient age. Non-Hispanic Black patients (OR=1.35, CI 1.04-1.75) and Hispanic patients (OR=1.43, CI 1.06-1.93) had significantly increased odds of needing mechanical ventilation, with persistence of this difference when controlling for age, gender, insurance, and comorbidities. CONCLUSIONS: In this large cohort of patients from the Baltimore-Washington DC region hospitalized for SARS-CoV-2 infection, we demonstrate that patients of Hispanic ethnicity have higher odds of severe illness, as defined by need for mechanical ventilation, but lower hospital mortality than non-Hispanic White patients. The lower hospital mortality rate is likely mediated by the younger age of this group. CLINICAL IMPLICATIONS: Policy makers should consider interventions to target the social determinants such as differences in access to health care and risk of exposure to COVID-19 that may account for the higher odds of severe infection and delayed presentation among Hispanic patients. Additionally, our findings suggest that Hispanic community may be shouldering a disproportionate burden of chronic illness related to surviving severe COVID-19. DISCLOSURES: No relevant relationships by Muhtadi Alnababteh, source=Web Response No relevant relationships by Victor Avila-Quintero, source=Web Response No relevant relationships by Jose Flores, source=Web Response No relevant relationships by Hunter Groninger, source=Web Response No relevant relationships by Nina Laing, source=Web Response No relevant relationships by Anirudh RAO, source=Web Response No relevant relationships by Akram Zaaqoq, source=Web Response",2021-10-31,"RAO, Anirudh; Alnababteh, Muhtadi; Flores, Jose; Avila-Quintero, Victor; Laing, Nina; Groninger, Hunter; Zaaqoq, Akram",Chest,,,,,,https://api.elsevier.com/content/article/pii/S0012369221020109; https://www.sciencedirect.com/science/article/pii/S0012369221020109; https://doi.org/10.1016/j.chest.2021.07.559,238585348.0
74dye5nr,0b400b65f6b601acb76034a9d4b8505d62baee7b; c0ae4c21a08102ff5853a067cbe2663f4144e246,Elsevier; Medline; PMC; WHO,Meta-analysis of immunologic response after COVID-19 mRNA vaccination in solid organ transplant recipients,10.1016/j.jinf.2022.02.016,PMC8857776,35192894.0,no-cc,,2022-02-19,"Tang, Kefu; Wu, Xi; Luo, Ying; Wei, Zhiying; Feng, Liyun; Wu, Lei",J Infect,,,,document_parses/pdf_json/0b400b65f6b601acb76034a9d4b8505d62baee7b.json; document_parses/pdf_json/c0ae4c21a08102ff5853a067cbe2663f4144e246.json,document_parses/pmc_json/PMC8857776.xml.json,https://doi.org/10.1016/j.jinf.2022.02.016; https://www.sciencedirect.com/science/article/pii/S0163445322000810?v=s5; https://www.ncbi.nlm.nih.gov/pubmed/35192894/; https://api.elsevier.com/content/article/pii/S0163445322000810,246975347.0
qxd540ey,,Medline,International wildlife trade is largely unregulated.,10.1136/vr.m3882,,33060236.0,unk,,2020-10-17,"Whitehead, Martin",The Veterinary record,,,,,,https://doi.org/10.1136/vr.m3882; https://www.ncbi.nlm.nih.gov/pubmed/33060236/,222412231.0
t8qagf2l,293f52ba69cf0afa13f3a7b1a7a25045f898f731,Medline; PMC; WHO,Health Professionals in a COVID-19 Reference Hospital: Post-traumatic Stress Disorder (PTSD) Levels and Their Associations With Psychological Resilience and Quality of Life,10.7759/cureus.22473,PMC8942070,35345756.0,cc-by,"Introduction The coronavirus disease 2019 (COVID-19) pandemic has affected the quality of life of both the general population and health professionals and has increased the levels of psychopathology among them. The present study aims to map the levels of post-traumatic stress disorder (PTSD), psychological resilience, and quality of life of healthcare professionals who work in a COVID-19 reference hospital in Athens, Greece, one year after the onset of the pandemic. Also, this study focuses on investigating the relationships among the study variables and demographics and examining possible mediating effects. Methods The sample consisted of 400 health professionals from Sotiria Hospital, of whom 102 were men. Participants were asked to complete the Post-Traumatic Stress Scale, Connor-Davidson Resilience Scale, and the WHO Quality of Life Questionnaire. The survey was conducted from May to July 2021. Results The findings show statistical differences in resilience levels regarding marital status and employee education. Also, 13.5% of the staff reported significant PTSD levels, which relate to low levels of psychological resilience and every pillar of quality of life. Conclusions Thus, research findings indicate that resilience levels could have a protective effect on the development of PTSD symptoms. Therefore, the design of group interventions that aim at building health workers’ resilience will be discussed.",2022-02-21,"Lekka, Dimitra; Orlandou, Konstantina; Pezirkianidis, Christos; Roubi, Aikaterini; Tsaraklis, Athanasios; Togas, Constantinos; Mpoulougari, Sofia; Anagnosti, Frosyna; Darahani, Dimitra; Stalikas, Anastasios",Cureus,,,,document_parses/pdf_json/293f52ba69cf0afa13f3a7b1a7a25045f898f731.json,document_parses/pmc_json/PMC8942070.xml.json,https://www.ncbi.nlm.nih.gov/pubmed/35345756/; https://doi.org/10.7759/cureus.22473,247076994.0
3irbc3oc,,WHO,A scenario modeling pipeline for COVID-19 emergency planning,,,,unk,"Coronavirus disease 2019 (COVID-19) has caused strain on health systems worldwide due to its high mortality rate and the large portion of cases requiring critical care and mechanical ventilation. During these uncertain times, public health decision makers, from city health departments to federal agencies, sought the use of epidemiological models for decision support in allocating resources, developing non-pharmaceutical interventions, and characterizing the dynamics of COVID-19 in their jurisdictions. In response, we developed a flexible scenario modeling pipeline that could quickly tailor models for decision makers seeking to compare projections of epidemic trajectories and healthcare impacts from multiple intervention scenarios in different locations. Here, we present the components and configurable features of the COVID Scenario Pipeline, with a vignette detailing its current use. We also present model limitations and active areas of development to meet ever-changing decision maker needs.",2021,"Lemaitre, Joseph C; Grantz, Kyra H; Kaminsky, Joshua; Meredith, Hannah R; Truelove, Shaun A; Lauer, Stephen A; Keegan, Lindsay T; Shah, Sam; Wills, Josh; Kaminsky, Kathryn; Perez-Saez, Javier; Lessler, Justin; Lee, Elizabeth C",Sci Rep,,#1171401,,,,,219602685.0
3l6xd5sx,,WHO,Transforming operating rooms into intensive care units and the versatility of the physician anesthesiologist during the COVID-19 crisis,,,,unk,,2020,"Carmona, Maria José Carvalho Quintão Vinícius Caldeira Melo Brigite Feiner de André Rodrigo Guerson Kayano Rafael Priante Perondi Beatriz Miethke-Morais Anna Rocha Marcelo Cristiano Malbouisson Luiz Marcelo Sá Auler-Júnior José Otávio Costa",Clinics,,#742230,,,,,219907518.0
gfiz3on1,,Medline,Surveillance of avian coronaviruses in wild bird populations of Korea.,10.7589/2013-11-298,,24949927.0,unk,"We examined the role of wild birds in the epidemiology of avian coronaviruses by studying oropharyngeal swabs from 32 wild bird species. The 14 avian coronaviruses detected belonged to the gamma-coronaviruses and shared high nucleotide sequence identity with some previously identified strains in wild waterfowl, but not with infectious bronchitis viruses.",2014,"Kim, Hye-Ryoung; Oem, Jae-Ku",Journal of wildlife diseases,,,,,,https://doi.org/10.7589/2013-11-298; https://www.ncbi.nlm.nih.gov/pubmed/24949927/,27917202.0
pvfi05i0,,WHO,Analysis of online information onsupport group meetings forcrohn's disease patients,,,,unk,"Background In 2018, the American College of Gastroenterology publishedguidelines for Crohn's disease management that emphasizedthe importance of addressing the patient's quality of life (QOL) Due to the unique challenges that they face, afficted patientsand their families benefit from support groups that providepsychosocial support Hospitals have traditionally preferred in-person support group meetings, but there has recently been agreat increase in the need for online meetings amidst theCOVID-19 pandemic With increasing usage of the Internet forhealth advice and assistance, it is important to assess theavailability of information on support groups online Methods Two independent investigators queried the terms 'Crohn'ssupport group' using the Google search engine The first 100websites were analyzed and categorized into eitherinformational websites (IW) or professional websites (PW)depending on their association The mode of support groupmeetings was categorized as either online or in-person Websites that included outdated events, were inaccessible, didnot specify the mode of meeting, required additional contact, orwere irrelevant were excluded Statistical analyses wereperformed using the chi-squared test of independence withsignificance level at p&lt;0 05 Results A total of 56 websites (33 IW, 23 PW) met our inclusion criteria IW offered online meetings more often than PW (60 6% and39 1%, respectively;p=0 11) In contrast, PW offered in-personmeetings more often than IW (73 9% and 69 7%, respectively;p=0 73) Excluded websites (30 IW, 14 PW) were furtheranalyzed for their reason for elimination For IW, the mostfrequent causes of exclusion in descending order were asfollows: irrelevance (30 0%), outdated (26 7%), inaccessible(20 0%), did not specify the mode of meeting (13 3%), andredirected for further information (10 0%) Listing of outdatedsessions was the most common reason for exclusion of PW fromthe study (57 1%), and the proportion was significantly higherthan IW (26 7%) (p=0 01) Conclusion Crohn's disease patients face unique challenges that requirespecial attention Support groups are an important means ofalleviating stress, depression, and anxiety in order to improvetheir QOL Yet, due to the COVID-19 social distancing policies,many are refrained from participating in in-person sessions This study illustrates that more online support group meetingsare needed and that professional websites should improve onmaking regular updates for future meeting sessions",2021,"Moon, J.; Moon, H.",Inflammatory Bowel Diseases,,#1193763,,,,,234238107.0
zzwcb82y,4ca729a2e820a4a305de75da2ebb50d64021a802,PMC,"How Youth of Color Create Communities of Hope: Connecting Advocacy, Activity, and Neighborhood Change",10.3390/ijerph18063133,PMC8002876,,cc-by,"The primary aim of this paper was to assess the association of after-school club characteristics with changes in physical activity, nutrition, and attitudes in students of color after participating in the “YEAH!” Advocacy-based Physical Activity Program. We examine the strengths of school-based vs. non-school based programs in promoting feelings of self-efficacy and empowerment among students learning to become more physically active—and importantly, also test the strength of how programs that are more connected (to community-based partners) may contribute to students’ optimism around policy and public health as it directly affects them. This study examined differences in the youth advocacy training impact across four after-school club types: school-based with community partnerships, school-based without partnerships, non-school-based with community partners, and non-school-based clubs without partnerships. We measured improvements in youth’s “optimism for change”, “assertiveness” and “decision-making” as related to after school activities and found that non-school-based programs with community partners showed highest positive impact.",2021-03-18,"Kim, Anna J.; Jones-Bynes, Jasmine; Botchwey, Nisha; Conway, Terry L.",Int J Environ Res Public Health,,,,document_parses/pdf_json/4ca729a2e820a4a305de75da2ebb50d64021a802.json,document_parses/pmc_json/PMC8002876.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8002876/,
5hqpxgpn,,WHO,Care pathway and prioritization of rapid testing for COVID-19 in UK hospitals: a qualitative evaluation,,,,unk,"OBJECTIVES: The second wave of the coronavirus pandemic is now established, occurring at a time of winter pressure on acute care in the NHS. This is likely to be more challenging then the first wave for the diagnosis of COVID-19 because of the similar symptomology with other respiratory conditions highly prevalent in winter. This study sought to understand the care pathways in place in UK NHS hospitals during the first wave (March-July 2020) for identification of patients with COVID-19 and to learn lessons to inform optimal testing strategies within the COVID-19 National Diagnostic Research and Evaluation Platform (CONDOR). DESIGN, SETTING & PARTICIPANTS: Sixteen hospital-based clinicians from 12 UK NHS Trusts covering 10 different specialties were interviewed following a semi-structured topic guide. Data were coded soon after the interviews and analysed thematically. RESULTS: We developed a diagrammatic, high-level visualisation of the care pathway describing the main clinical decisions associated with the diagnosis and management of patients with suspected COVID-19. COVID-19 testing influenced infection control considerations more so than treatment decisions. Two main features of service provision influenced the patient management significantly: access to rapid laboratory testing and the number of single occupancy rooms. If time to return of result was greater than 24 h, patients with a presumptive diagnosis would often be cohorted based on clinical suspicion alone. Undetected COVID-19 during this time could therefore lead to an increased risk of viral transmission. CONCLUSIONS: During the winter months, priority for provision of rapid testing at admission should be given to hospitals with limited access to laboratory services and single room availability. Access to rapid testing is essential for urgent decisions related to emergency surgery, maternity services and organ transplant. The pathway and prioritization of need will inform the economic modelling, clinical evaluations, and implementation of new clinical tests in UK.",2021,"Hicks, Timothy; Winter, Amanda; Green, Kile; Kierkegaard, Patrick; Price, D Ashley; Body, Richard; Allen, A Joy; Graziadio, Sara",BMC Health Serv Res,,#1249555,,,,,234406155.0
